"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2894","Job details should be visible","Jobs","2026-07-25","passed","2026-07-25","Job Details Is Visible","Guest","",""
"","2088","User should see validation error when Linkedin is invalid","Account","2026-07-25","passed","2026-07-25","Incorrect Linkedin","Candidate / Edit Profile / Contacts","",""
"","2450","User should see validation error when desired annual base salary is empty","Account","2026-07-25","passed","2026-07-25","Empty Desired Annual Base Salary","Candidate / Edit Profile / Expectations","",""
"","3578","User should update company","Account","2026-07-25","passed","2026-07-25","Update Company","Recruiter / Edit Profile","",""
"","3897","User should update expectations from work","Account","2026-07-25","passed","2026-07-25","Update Expectations From Work","Candidate / Edit Profile / Bio","",""
"","5295","User should add job experience","Account","2026-07-25","passed","2026-07-25","Add Job Experience","Candidate / Edit Profile / Experience","",""
"","3082","User should see validation error when repeat new password is mismatched","Account","2026-07-25","passed","2026-07-25","Mismatched Repeat New Password","Candidate / Account Settings","",""
"","4354","User should update achievements","Account","2026-07-25","passed","2026-07-25","Update Achievements","Candidate / Edit Profile / Bio","",""
"","3450","User should logout successfully","Auth","2026-07-25","passed","2026-07-25","Success Logout","Logout","",""
"","3973","User should update first name","Account","2026-07-25","passed","2026-07-25","Update First Name","Candidate / Edit Profile / Contacts","",""
"","16604","User should register with all valid fields","Auth","2026-07-25","passed","2026-07-25","All Valid Fields","Sign Up / Candidate","",""
"","3825","User should update GitHub","Account","2026-07-25","passed","2026-07-25","Update Git Hub","Candidate / Edit Profile / Contacts","",""
"","3816","User should delete job experience","Account","2026-07-25","passed","2026-07-25","Delete Job Experience","Candidate / Edit Profile / Experience","",""
"","2113","User should see validation error when last name is empty","Account","2026-07-25","passed","2026-07-25","Empty Last Name","Candidate / Edit Profile / Contacts","",""
"","2516","User should see validation error when desired monthly base salary is empty","Account","2026-07-25","passed","2026-07-25","Empty Desired Monthly Base Salary","Candidate / Edit Profile / Expectations","",""
"","3951","User should update Behance","Account","2026-07-25","passed","2026-07-25","Update Behance","Candidate / Edit Profile / Contacts","",""
"","2969","Newsletter should show error when email is empty","Jobs","2026-07-25","passed","2026-07-25","Empty Email Subscribe Newsletter","Guest","",""
"","2087","User should see validation error when first name is empty","Account","2026-07-25","passed","2026-07-25","Empty First Name","Candidate / Edit Profile / Contacts","",""
"","2034","User should see validation error when company is empty","Account","2026-07-25","passed","2026-07-25","Empty Company","Recruiter / Edit Profile","",""
"","2668","Jobs should be visible","Jobs","2026-07-25","passed","2026-07-25","Jobs Is Visible","Guest","",""
"","6566","Jobs should be filtered by company","Jobs","2026-07-25","passed","2026-07-25","Filter Jobs By Company","Guest","",""
"","2818","User should see validation error when current password is empty","Account","2026-07-25","passed","2026-07-25","Empty Current Password","Recruiter / Account Settings","",""
"","797","authenticate as recruiter","Auth Setup","2026-07-25","passed","2026-07-25","","auth.setup.ts","",""
"","2119","User should see validation error when job experience role is empty","Account","2026-07-25","passed","2026-07-25","Empty Role","Candidate / Edit Profile / Experience","",""
"","2917","User should see validation error when new password is empty","Account","2026-07-25","passed","2026-07-25","Empty New Passwrord","Recruiter / Account Settings","",""
"","3206","User should see validation error when new password is empty","Account","2026-07-25","passed","2026-07-25","Empty New Passwrord","Candidate / Account Settings","",""
"","2145","User should see validation error when email is incorrect","Auth","2026-07-25","passed","2026-07-25","Invalid Email","Sign In","",""
"","2046","User should see validation error when desired position is empty","Account","2026-07-25","passed","2026-07-25","Empty Desired Position","Candidate / Edit Profile / Role","",""
"","2274","User should see validation error when core technical skills is empty","Account","2026-07-25","passed","2026-07-25","Empty Core Technical Skills","Candidate / Edit Profile / Role","",""
"","5101","User should update desired roles","Account","2026-07-25","passed","2026-07-25","Update Desired Roles","Candidate / Edit Profile / Role","",""
"","1826","User should see validation error when last name is empty","Account","2026-07-25","passed","2026-07-25","Empty Last Name","Recruiter / Edit Profile","",""
"","4030","User should update desired position","Account","2026-07-25","passed","2026-07-25","Update Desired Position","Candidate / Edit Profile / Role","",""
"","2042","User should see validation error when role is empty","Account","2026-07-25","passed","2026-07-25","Empty Role","Recruiter / Edit Profile","",""
"","5229","User should update job experience","Account","2026-07-25","passed","2026-07-25","Update Job Experience","Candidate / Edit Profile / Experience","",""
"","4451","User should update desired monthly base salary","Account","2026-07-25","passed","2026-07-25","Update Desired Monthly Base Salary","Candidate / Edit Profile / Expectations","",""
